date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,E1VFVN30,HOSE,23.27,24.89,21.65,23.04,23.26,23.27,22.91,23.126,23.04,23.26,23.27,22.91,23.126,-0.23,-0.23,-0.9884,182000,4208898000,200000,4599600000,382000,8808498000
11/7/24,E1VFVN30,HOSE,23.33,24.96,21.7,23.27,23.46,23.46,23.22,23.306,23.27,23.46,23.46,23.22,23.306,-0.06,-0.06,-0.2572,80900,1885411000,100000,2324600000,180900,4210011000
11/6/24,E1VFVN30,HOSE,23,24.61,21.39,23.33,23,23.33,23,23.147,23.33,23,23.33,23,23.147,0.33,0.33,1.4348,336900,7798243000,200000,4644200000,536900,12442443000
11/5/24,E1VFVN30,HOSE,23,24.61,21.39,23,23.03,23.05,22.99,23.012,23,23.03,23.05,22.99,23.012,0,0,0,168900,3886647000,0,0,168900,3886647000
11/4/24,E1VFVN30,HOSE,23.23,24.85,21.61,23,23.23,23.3,22.6,23.04,23,23.23,23.3,22.6,23.04,-0.23,-0.23,-0.9901,285800,6584784000,0,0,285800,6584784000
11/1/24,E1VFVN30,HOSE,23.43,25.07,21.79,23.23,23.35,23.38,23.14,23.286,23.23,23.35,23.38,23.14,23.286,-0.2,-0.2,-0.8536,222800,5188065000,0,0,222800,5188065000
10/31/24,E1VFVN30,HOSE,23.35,24.98,21.72,23.43,23.35,23.49,23.25,23.378,23.43,23.35,23.49,23.25,23.378,0.08,0.08,0.3426,117400,2744566000,0,0,117400,2744566000
10/30/24,E1VFVN30,HOSE,23.31,24.94,21.68,23.35,23.34,23.43,23.23,23.318,23.35,23.34,23.43,23.23,23.318,0.04,0.04,0.1716,355100,8280344000,1100000,25588500000,1455100,33868844000
10/29/24,E1VFVN30,HOSE,23.18,24.8,21.56,23.31,23.39,23.39,23.25,23.309,23.31,23.39,23.39,23.25,23.309,0.13,0.13,0.5608,134800,3142054000,1800000,41934000000,1934800,45076054000
10/28/24,E1VFVN30,HOSE,23.31,24.94,21.68,23.18,23.31,23.36,23.13,23.17,23.18,23.31,23.36,23.13,23.17,-0.13,-0.13,-0.5577,479200,11103222000,100000,2316900000,579200,13420122000
10/25/24,E1VFVN30,HOSE,23.29,24.92,21.66,23.31,23.4,23.4,23.16,23.238,23.31,23.4,23.4,23.16,23.238,0.02,0.02,0.0859,1147500,26665779000,100000,2319400000,1247500,28985179000
10/24/24,E1VFVN30,HOSE,23.62,25.27,21.97,23.29,23.61,23.63,23.29,23.428,23.29,23.61,23.63,23.29,23.428,-0.33,-0.33,-1.3971,464700,10887180000,0,0,464700,10887180000
10/23/24,E1VFVN30,HOSE,23.68,25.33,22.03,23.62,23.69,23.69,23.45,23.555,23.62,23.69,23.69,23.45,23.555,-0.06,-0.06,-0.2534,234100,5514178000,0,0,234100,5514178000
