Business Results - E1VFVN30,,,,Q2/2022,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023,Q4/2023,Q1/2024,Q2/2024
Period,,,,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Consolidated,,,,,,,,,,,,
Audit,,,,,,,,,,,,
Audit Firm,,,,,,,,,,,,
Audit Opinion,,,,,,,,,,,,
,,,,,,,,,,,,
Determine Actual Business Results,,,,,,,,,,,,
Income from Completed Investment Activities,,,,"-1,495",-502,-843,531,427,413,-171,"1,101",-12
Expenses,,,,24,23,21,19,19,21,16,17,18
Net Results from Activities Distributed During the Period,,,,"-1,519",-525,-864,512,408,392,-186,"1,084",-30
Profit (Loss) from Investment Activities,,,,,,,,,,,,
Change in Net Asset Value of the Fund Due to Investment Activities During the Period,,,,"-1,519",-525,-864,512,408,392,-186,"1,084",-30
Determine Unrealized Business Results,,,,,,,,,,,,
Income,,,,,,,,,,,,
Expenses,,,,,,,,,,,,
Unrealized Results at the End of the Period,,,,,,,,,,,,
Total Net Profit for the Period,,,,"-1,519",-525,-864,512,408,392,-186,"1,084",-30
Balance Sheet - E1VFVN30,,,,Q2/2022,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023,Q4/2023,Q1/2024,Q2/2024
Period,,,,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Period,,,,,,,,,,,,
Consolidated,,,,,,,,,,,,
Audit,,,,,,,,,,,,
Audit Firm,,,,,,,,,,,,
Audit Opinion,,,,,,,,,,,,
Bank Deposits,,,,102,206,58,245,169,47,43,25,108
Securities Investments,,,,"7,367","6,155","7,337","8,181","7,974","7,629","7,511","7,741",
Other Investments,,,,230,500,,,,,,4,"7,028"
Receivables from Investment Activities,,,,,3,10,43,42,17,3,156,6
Other Receivables,,,,13,,,,,,,,
Total Assets,,,,"7,711","6,863","7,405","8,469","8,185","7,693","7,556","7,927","7,143"
Liabilities,,,,8,44,7,37,43,42,6,49,75
Equity,,,,"7,704","6,82","7,399","8,433","8,142","7,651","7,55","7,877","7,068"
Contributed Capital from Investors,,,,"4,935","4,576","6,019","6,541","5,842","4,96","5,044","4,287","3,508"
Undistributed Results from Activities,,,,"2,769","2,244","1,379","1,892","2,3","2,692","2,506","3,59","3,56"
Total Capital,,,,"7,711","6,863","7,405","8,469","8,185","7,693","7,556","7,927","7,143"
