date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,ENF,OTC,0,0,0,36.532,0,0,0,0,36.532,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/24,ENF,OTC,0,0,0,36.099,0,0,0,0,36.099,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/24,ENF,OTC,0,0,0,36.557,0,0,0,0,36.557,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/24,ENF,OTC,0,0,0,36.443,0,0,0,0,36.443,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/24,ENF,OTC,0,0,0,36.158,0,0,0,0,36.158,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/24,ENF,OTC,0,0,0,36.324,0,0,0,0,36.324,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/24,ENF,OTC,0,0,0,36.99,0,0,0,0,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/24,ENF,OTC,0,0,0,36.935,0,0,0,0,36.935,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/24,ENF,OTC,0,0,0,37.237,0,0,0,0,37.237,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/24,ENF,OTC,0,0,0,36.726,0,0,0,0,36.726,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/24,ENF,OTC,0,0,0,36.805,0,0,0,0,36.805,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/24,ENF,OTC,0,0,0,37.087,0,0,0,0,37.087,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/24,ENF,OTC,0,0,0,37.119,0,0,0,0,37.119,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/24,ENF,OTC,0,0,0,36.939,0,0,0,0,36.939,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/24,ENF,OTC,0,0,0,36.719,0,0,0,0,36.719,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/24,ENF,OTC,0,0,0,36.411,0,0,0,0,36.411,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/24,ENF,OTC,0,0,0,36.369,0,0,0,0,36.369,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/24,ENF,OTC,0,0,0,36.199,0,0,0,0,36.199,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/24,ENF,OTC,0,0,0,36.31,0,0,0,0,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/24,ENF,OTC,0,0,0,36.759,0,0,0,0,36.759,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/24,ENF,OTC,0,0,0,36.689,0,0,0,0,36.689,0,0,0,0,0,0,0,0,0,0,0,0,0
8/23/24,ENF,OTC,0,0,0,36.853,0,0,0,0,36.853,0,0,0,0,0,0,0,0,0,0,0,0,0
8/21/24,ENF,OTC,0,0,0,36.679,0,0,0,0,36.679,0,0,0,0,0,0,0,0,0,0,0,0,0
8/14/24,ENF,OTC,0,0,0,35.877,0,0,0,0,35.877,0,0,0,0,0,0,0,0,0,0,0,0,0
8/9/24,ENF,OTC,0,0,0,35.084,0,0,0,0,35.084,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/24,ENF,OTC,0,0,0,35.218,0,0,0,0,35.218,0,0,0,0,0,0,0,0,0,0,0,0,0
8/2/24,ENF,OTC,0,0,0,35.557,0,0,0,0,35.557,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/24,ENF,OTC,0,0,0,36.335,0,0,0,0,36.335,0,0,0,0,0,0,0,0,0,0,0,0,0
7/26/24,ENF,OTC,0,0,0,35.871,0,0,0,0,35.871,0,0,0,0,0,0,0,0,0,0,0,0,0
7/24/24,ENF,OTC,0,0,0,35.862,0,0,0,0,35.862,0,0,0,0,0,0,0,0,0,0,0,0,0
7/19/24,ENF,OTC,0,0,0,36.861,0,0,0,0,36.861,0,0,0,0,0,0,0,0,0,0,0,0,0
7/17/24,ENF,OTC,0,0,0,37.042,0,0,0,0,37.042,0,0,0,0,0,0,0,0,0,0,0,0,0
7/12/24,ENF,OTC,0,0,0,37.1,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/10/24,ENF,OTC,0,0,0,37.382,0,0,0,0,37.382,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/24,ENF,OTC,0,0,0,36.663,0,0,0,0,36.663,0,0,0,0,0,0,0,0,0,0,0,0,0
7/3/24,ENF,OTC,0,0,0,36.299,0,0,0,0,36.299,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/24,ENF,OTC,0,0,0,36.431,0,0,0,0,36.431,0,0,0,0,0,0,0,0,0,0,0,0,0
