date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,FUEDCMID,HOSE,11.9,12.73,11.07,11.97,11.92,11.97,11.7,11.745,11.97,11.92,11.97,11.7,11.745,0.07,0.07,0.5882,27400,321810000,0,0,27400,321810000
11/7/24,FUEDCMID,HOSE,11.88,12.71,11.05,11.9,11.88,11.97,11.8,11.834,11.9,11.88,11.97,11.8,11.834,0.02,0.02,0.1684,43000,508878000,0,0,43000,508878000
11/6/24,FUEDCMID,HOSE,11.63,12.44,10.82,11.88,11.8,11.88,11.7,11.782,11.88,11.8,11.88,11.7,11.782,0.25,0.25,2.1496,8600,101327000,0,0,8600,101327000
11/5/24,FUEDCMID,HOSE,11.64,12.45,10.83,11.63,11.65,11.66,11.61,11.628,11.63,11.65,11.66,11.61,11.628,-0.01,-0.01,-0.0859,36300,422108000,0,0,36300,422108000
11/4/24,FUEDCMID,HOSE,11.73,12.55,10.91,11.64,11.98,11.98,11.61,11.647,11.64,11.98,11.98,11.61,11.647,-0.09,-0.09,-0.7673,13800,160725000,0,0,13800,160725000
11/1/24,FUEDCMID,HOSE,11.89,12.72,11.06,11.73,11.85,11.85,11.71,11.736,11.73,11.85,11.85,11.71,11.736,-0.16,-0.16,-1.3457,20900,245289000,0,0,20900,245289000
10/31/24,FUEDCMID,HOSE,11.78,12.6,10.96,11.89,11.78,11.89,11.77,11.843,11.89,11.78,11.89,11.77,11.843,0.11,0.11,0.9338,5000,59216000,0,0,5000,59216000
10/30/24,FUEDCMID,HOSE,11.82,12.64,11,11.78,11.82,11.82,11.75,11.782,11.78,11.82,11.82,11.75,11.782,-0.04,-0.04,-0.3384,8300,97789000,0,0,8300,97789000
10/29/24,FUEDCMID,HOSE,11.87,12.7,11.04,11.82,11.77,11.82,11.77,11.803,11.82,11.77,11.82,11.77,11.803,-0.05,-0.05,-0.4212,7300,86162000,0,0,7300,86162000
10/28/24,FUEDCMID,HOSE,11.68,12.49,10.87,11.87,11.68,12.42,11.56,11.689,11.87,11.68,12.42,11.56,11.689,0.19,0.19,1.6267,34100,398598000,0,0,34100,398598000
10/25/24,FUEDCMID,HOSE,11.83,12.65,11.01,11.68,11.83,11.83,11.68,11.731,11.68,11.83,11.83,11.68,11.731,-0.15,-0.15,-1.268,29100,341361000,0,0,29100,341361000
10/24/24,FUEDCMID,HOSE,11.95,12.78,11.12,11.83,11.84,11.88,11.75,11.799,11.83,11.84,11.88,11.75,11.799,-0.12,-0.12,-1.0042,23300,274914000,0,0,23300,274914000
10/23/24,FUEDCMID,HOSE,11.81,12.63,10.99,11.95,11.78,11.95,11.76,11.8,11.95,11.78,11.95,11.76,11.8,0.14,0.14,1.1854,19400,228915000,0,0,19400,228915000
10/22/24,FUEDCMID,HOSE,11.95,12.78,11.12,11.81,11.86,11.91,11.79,11.816,11.81,11.86,11.91,11.79,11.816,-0.14,-0.14,-1.1715,14600,172507000,0,0,14600,172507000
10/21/24,FUEDCMID,HOSE,11.96,12.79,11.13,11.95,11.92,11.95,11.86,11.894,11.95,11.92,11.95,11.86,11.894,-0.01,-0.01,-0.0836,3800,45197000,0,0,3800,45197000
10/18/24,FUEDCMID,HOSE,12,12.84,11.16,11.96,12.05,12.05,11.95,11.971,11.96,12.05,12.05,11.95,11.971,-0.04,-0.04,-0.3333,3900,46686000,0,0,3900,46686000
10/17/24,FUEDCMID,HOSE,11.82,12.64,11,12,11.82,12,11.75,11.8,12,11.82,12,11.75,11.8,0.18,0.18,1.5228,77200,910933000,0,0,77200,910933000
10/16/24,FUEDCMID,HOSE,11.8,12.62,10.98,11.82,11.89,11.89,11.82,11.876,11.82,11.89,11.89,11.82,11.876,0.02,0.02,0.1695,6100,72446000,0,0,6100,72446000
10/15/24,FUEDCMID,HOSE,12.01,12.85,11.17,11.8,12.01,12.01,11.8,11.919,11.8,12.01,12.01,11.8,11.919,-0.21,-0.21,-1.7485,40900,487475000,0,0,40900,487475000
10/14/24,FUEDCMID,HOSE,12.09,12.93,11.25,12.01,12.09,12.09,11.96,12.035,12.01,12.09,12.09,11.96,12.035,-0.08,-0.08,-0.6617,6700,80633000,0,0,6700,80633000
10/11/24,FUEDCMID,HOSE,11.98,12.81,11.15,12.09,11.99,12.11,11.99,12.069,12.09,11.99,12.11,11.99,12.069,0.11,0.11,0.9182,2000,24138000,0,0,2000,24138000
10/10/24,FUEDCMID,HOSE,12.07,12.91,11.23,11.98,12.15,12.19,11.98,12.103,11.98,12.15,12.19,11.98,12.103,-0.09,-0.09,-0.7457,24700,298949000,0,0,24700,298949000
10/9/24,FUEDCMID,HOSE,12.05,12.89,11.21,12.07,12.06,12.07,12.02,12.049,12.07,12.06,12.07,12.02,12.049,0.02,0.02,0.166,80500,969932000,0,0,80500,969932000
10/8/24,FUEDCMID,HOSE,11.9,12.73,11.07,12.05,11.97,12.05,11.97,12.008,12.05,11.97,12.05,11.97,12.008,0.15,0.15,1.2605,17000,204128000,0,0,17000,204128000
10/7/24,FUEDCMID,HOSE,11.92,12.75,11.09,11.9,11.94,11.95,11.86,11.917,11.9,11.94,11.95,11.86,11.917,-0.02,-0.02,-0.1678,16400,195443000,0,0,16400,195443000
10/4/24,FUEDCMID,HOSE,12.11,12.95,11.27,11.92,12.1,12.1,11.91,11.963,11.92,12.1,12.1,11.91,11.963,-0.19,-0.19,-1.569,9300,111260000,0,0,9300,111260000
10/3/24,FUEDCMID,HOSE,12.17,13.02,11.32,12.11,12.15,12.22,12,12.152,12.11,12.15,12.22,12,12.152,-0.06,-0.06,-0.493,44500,540781000,0,0,44500,540781000
