Attributes,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
Symbols,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA
date,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,SSISCA,OTC,0.0,0.0,0.0,40.11557,0.0,0.0,0.0,0.0,40.11557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,SSISCA,OTC,0.0,0.0,0.0,39.79687,0.0,0.0,0.0,0.0,39.79687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-31,SSISCA,OTC,0.0,0.0,0.0,38.91374,0.0,0.0,0.0,0.0,38.91374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,SSISCA,OTC,0.0,0.0,0.0,38.84016,0.0,0.0,0.0,0.0,38.84016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,SSISCA,OTC,0.0,0.0,0.0,38.21186,0.0,0.0,0.0,0.0,38.21186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,SSISCA,OTC,0.0,0.0,0.0,35.3365,0.0,0.0,0.0,0.0,35.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-29,SSISCA,OTC,0.0,0.0,0.0,36.40525,0.0,0.0,0.0,0.0,36.40525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-29,SSISCA,OTC,0.0,0.0,0.0,34.51164,0.0,0.0,0.0,0.0,34.51164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,SSISCA,OTC,0.0,0.0,0.0,32.01333,0.0,0.0,0.0,0.0,32.01333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-29,SSISCA,OTC,0.0,0.0,0.0,30.57845,0.0,0.0,0.0,0.0,30.57845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-30,SSISCA,OTC,0.0,0.0,0.0,29.19147,0.0,0.0,0.0,0.0,29.19147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-31,SSISCA,OTC,0.0,0.0,0.0,26.79076,0.0,0.0,0.0,0.0,26.79076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-29,SSISCA,OTC,0.0,0.0,0.0,31.01111,0.0,0.0,0.0,0.0,31.01111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-31,SSISCA,OTC,0.0,0.0,0.0,31.68518,0.0,0.0,0.0,0.0,31.68518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-31,SSISCA,OTC,0.0,0.0,0.0,30.31031,0.0,0.0,0.0,0.0,30.31031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
