Attributes,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
Symbols,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF,VCBF
date,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,VCBF-BCF,OTC,0.0,0.0,0.0,25.26223,0.0,0.0,0.0,0.0,25.26223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,VCBF-BCF,OTC,0.0,0.0,0.0,24.52218,0.0,0.0,0.0,0.0,24.52218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,VCBF-BCF,OTC,0.0,0.0,0.0,26.54516,0.0,0.0,0.0,0.0,26.54516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,VCBF-BCF,OTC,0.0,0.0,0.0,24.12971,0.0,0.0,0.0,0.0,24.12971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,VCBF-BCF,OTC,0.0,0.0,0.0,24.64999,0.0,0.0,0.0,0.0,24.64999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,VCBF-BCF,OTC,0.0,0.0,0.0,23.4972,0.0,0.0,0.0,0.0,23.4972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,VCBF-BCF,OTC,0.0,0.0,0.0,25.66616,0.0,0.0,0.0,0.0,25.66616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,VCBF-BCF,OTC,0.0,0.0,0.0,28.85668,0.0,0.0,0.0,0.0,28.85668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,VCBF-BCF,OTC,0.0,0.0,0.0,27.4086,0.0,0.0,0.0,0.0,27.4086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,VCBF-BCF,OTC,0.0,0.0,0.0,27.22427,0.0,0.0,0.0,0.0,27.22427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,VCBF-BCF,OTC,0.0,0.0,0.0,28.90662,0.0,0.0,0.0,0.0,28.90662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,VCBF-BCF,OTC,0.0,0.0,0.0,29.49442,0.0,0.0,0.0,0.0,29.49442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,VCBF-BCF,OTC,0.0,0.0,0.0,31.22608,0.0,0.0,0.0,0.0,31.22608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,VCBF-BCF,OTC,0.0,0.0,0.0,30.29884,0.0,0.0,0.0,0.0,30.29884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,VCBF-BCF,OTC,0.0,0.0,0.0,29.7863,0.0,0.0,0.0,0.0,29.7863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
