date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,E1VFVN30,HOSE,23270,24890,21650,23040,23260,23270,22910,23126,23040,23260,23270,22910,23126,-230,-230,-988.4,182000000,4.2089E+12,200000000,4.5996E+12,382000000,8.8085E+12
11/7/24,E1VFVN30,HOSE,23330,24960,21700,23270,23460,23460,23220,23306,23270,23460,23460,23220,23306,-60,-60,-257.2,80900000,1.88541E+12,100000000,2.3246E+12,180900000,4.21001E+12
11/6/24,E1VFVN30,HOSE,23000,24610,21390,23330,23000,23330,23000,23147,23330,23000,23330,23000,23147,330,330,1434.8,336900000,7.79824E+12,200000000,4.6442E+12,536900000,1.24424E+13
11/5/24,E1VFVN30,HOSE,23000,24610,21390,23000,23030,23050,22990,23012,23000,23030,23050,22990,23012,0,0,0,168900000,3.88665E+12,0,0,168900000,3.88665E+12
11/4/24,E1VFVN30,HOSE,23230,24850,21610,23000,23230,23300,22600,23040,23000,23230,23300,22600,23040,-230,-230,-990.1,285800000,6.58478E+12,0,0,285800000,6.58478E+12
11/1/24,E1VFVN30,HOSE,23430,25070,21790,23230,23350,23380,23140,23286,23230,23350,23380,23140,23286,-200,-200,-853.6,222800000,5.18807E+12,0,0,222800000,5.18807E+12
10/31/24,E1VFVN30,HOSE,23350,24980,21720,23430,23350,23490,23250,23378,23430,23350,23490,23250,23378,80,80,342.6,117400000,2.74457E+12,0,0,117400000,2.74457E+12
10/30/24,E1VFVN30,HOSE,23310,24940,21680,23350,23340,23430,23230,23318,23350,23340,23430,23230,23318,40,40,171.6,355100000,8.28034E+12,1100000000,2.55885E+13,1455100000,3.38688E+13
10/29/24,E1VFVN30,HOSE,23180,24800,21560,23310,23390,23390,23250,23309,23310,23390,23390,23250,23309,130,130,560.8,134800000,3.14205E+12,1800000000,4.1934E+13,1934800000,4.50761E+13
10/28/24,E1VFVN30,HOSE,23310,24940,21680,23180,23310,23360,23130,23170,23180,23310,23360,23130,23170,-130,-130,-557.7,479200000,1.11032E+13,100000000,2.3169E+12,579200000,1.34201E+13
10/25/24,E1VFVN30,HOSE,23290,24920,21660,23310,23400,23400,23160,23238,23310,23400,23400,23160,23238,20,20,85.9,1147500000,2.66658E+13,100000000,2.3194E+12,1247500000,2.89852E+13
10/24/24,E1VFVN30,HOSE,23620,25270,21970,23290,23610,23630,23290,23428,23290,23610,23630,23290,23428,-330,-330,-1397.1,464700000,1.08872E+13,0,0,464700000,1.08872E+13
10/23/24,E1VFVN30,HOSE,23680,25330,22030,23620,23690,23690,23450,23555,23620,23690,23690,23450,23555,-60,-60,-253.4,234100000,5.51418E+12,0,0,234100000,5.51418E+12
10/22/24,E1VFVN30,HOSE,23700,25350,22050,23680,23840,23840,23500,23698,23680,23840,23840,23500,23698,-20,-20,-84.4,314100000,7.44364E+12,0,0,314100000,7.44364E+12
10/21/24,E1VFVN30,HOSE,23930,25600,22260,23700,23930,23930,23700,23793,23700,23930,23930,23700,23793,-230,-230,-961.1,489800000,1.16539E+13,100000000,2.3825E+12,589800000,1.40364E+13
10/18/24,E1VFVN30,HOSE,23780,25440,22120,23930,24000,24000,23800,23918,23930,24000,24000,23800,23918,150,150,630.8,168900000,4.03969E+12,0,0,168900000,4.03969E+12
10/17/24,E1VFVN30,HOSE,23700,25350,22050,23780,23700,24000,23560,23670,23780,23700,24000,23560,23670,80,80,337.6,563100000,1.33283E+13,500000000,1.18375E+13,1063100000,2.51658E+13
