date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,FUEDCMID,HOSE,11900.0,12730.0,11070.0,11970.0,11920.0,11970.0,11700.0,11745.0,11970.0,11920.0,11970.0,11700.0,11745.0,70.0,70.0,588.1999999999999,27400000,321810000000,0,0,27400000,321810000000
11/7/24,FUEDCMID,HOSE,11880.0,12710.0,11050.0,11900.0,11880.0,11970.0,11800.0,11834.000000000002,11900.0,11880.0,11970.0,11800.0,11834.000000000002,20.0,20.0,168.4,43000000,508878000000,0,0,43000000,508878000000
11/6/24,FUEDCMID,HOSE,11630.0,12440.0,10820.0,11880.0,11800.0,11880.0,11700.0,11782.0,11880.0,11800.0,11880.0,11700.0,11782.0,250.0,250.0,2149.6,8600000,101327000000,0,0,8600000,101327000000
11/5/24,FUEDCMID,HOSE,11640.0,12450.0,10830.0,11630.0,11650.0,11660.0,11610.0,11628.0,11630.0,11650.0,11660.0,11610.0,11628.0,-10.0,-10.0,-85.9,36300000,422108000000,0,0,36300000,422108000000
11/4/24,FUEDCMID,HOSE,11730.0,12550.0,10910.0,11640.0,11980.0,11980.0,11610.0,11647.0,11640.0,11980.0,11980.0,11610.0,11647.0,-90.0,-90.0,-767.3,13800000,160725000000,0,0,13800000,160725000000
11/1/24,FUEDCMID,HOSE,11890.0,12720.0,11060.0,11730.0,11850.0,11850.0,11710.0,11735.999999999998,11730.0,11850.0,11850.0,11710.0,11735.999999999998,-160.0,-160.0,-1345.6999999999998,20900000,245289000000,0,0,20900000,245289000000
10/31/24,FUEDCMID,HOSE,11780.0,12600.0,10960.0,11890.0,11780.0,11890.0,11770.0,11843.0,11890.0,11780.0,11890.0,11770.0,11843.0,110.0,110.0,933.8,5000000,59216000000,0,0,5000000,59216000000
10/30/24,FUEDCMID,HOSE,11820.0,12640.0,11000.0,11780.0,11820.0,11820.0,11750.0,11782.0,11780.0,11820.0,11820.0,11750.0,11782.0,-40.0,-40.0,-338.4,8300000,97789000000,0,0,8300000,97789000000
10/29/24,FUEDCMID,HOSE,11870.0,12700.0,11040.0,11820.0,11770.0,11820.0,11770.0,11802.999999999998,11820.0,11770.0,11820.0,11770.0,11802.999999999998,-50.0,-50.0,-421.20000000000005,7300000,86162000000,0,0,7300000,86162000000
10/28/24,FUEDCMID,HOSE,11680.0,12490.0,10870.0,11870.0,11680.0,12420.0,11560.0,11689.0,11870.0,11680.0,12420.0,11560.0,11689.0,190.0,190.0,1626.7,34100000,398598000000,0,0,34100000,398598000000
10/25/24,FUEDCMID,HOSE,11830.0,12650.0,11010.0,11680.0,11830.0,11830.0,11680.0,11731.0,11680.0,11830.0,11830.0,11680.0,11731.0,-150.0,-150.0,-1268.0,29100000,341361000000,0,0,29100000,341361000000
10/24/24,FUEDCMID,HOSE,11950.0,12780.0,11120.0,11830.0,11840.0,11880.0,11750.0,11799.000000000002,11830.0,11840.0,11880.0,11750.0,11799.000000000002,-120.0,-120.0,-1004.1999999999999,23300000,274914000000,0,0,23300000,274914000000
10/23/24,FUEDCMID,HOSE,11810.0,12630.0,10990.0,11950.0,11780.0,11950.0,11760.0,11800.0,11950.0,11780.0,11950.0,11760.0,11800.0,140.0,140.0,1185.4,19400000,228915000000,0,0,19400000,228915000000
10/22/24,FUEDCMID,HOSE,11950.0,12780.0,11120.0,11810.0,11860.0,11910.0,11790.0,11815.999999999998,11810.0,11860.0,11910.0,11790.0,11815.999999999998,-140.0,-140.0,-1171.5,14600000,172507000000,0,0,14600000,172507000000
10/21/24,FUEDCMID,HOSE,11960.0,12790.0,11130.0,11950.0,11920.0,11950.0,11860.0,11894.0,11950.0,11920.0,11950.0,11860.0,11894.0,-10.0,-10.0,-83.6,3800000,45197000000,0,0,3800000,45197000000
10/18/24,FUEDCMID,HOSE,12000.0,12840.0,11160.0,11960.0,12050.0,12050.0,11950.0,11970.999999999998,11960.0,12050.0,12050.0,11950.0,11970.999999999998,-40.0,-40.0,-333.3,3900000,46686000000,0,0,3900000,46686000000
10/17/24,FUEDCMID,HOSE,11820.0,12640.0,11000.0,12000.0,11820.0,12000.0,11750.0,11800.0,12000.0,11820.0,12000.0,11750.0,11800.0,180.0,180.0,1522.8,77200000,910933000000,0,0,77200000,910933000000
10/16/24,FUEDCMID,HOSE,11800.0,12620.0,10980.0,11820.0,11890.0,11890.0,11820.0,11876.0,11820.0,11890.0,11890.0,11820.0,11876.0,20.0,20.0,169.5,6100000,72446000000,0,0,6100000,72446000000
10/15/24,FUEDCMID,HOSE,12010.0,12850.0,11170.0,11800.0,12010.0,12010.0,11800.0,11919.0,11800.0,12010.0,12010.0,11800.0,11919.0,-210.0,-210.0,-1748.5,40900000,487475000000,0,0,40900000,487475000000
10/14/24,FUEDCMID,HOSE,12090.0,12930.0,11250.0,12010.0,12090.0,12090.0,11960.0,12035.0,12010.0,12090.0,12090.0,11960.0,12035.0,-80.0,-80.0,-661.6999999999999,6700000,80633000000,0,0,6700000,80633000000
10/11/24,FUEDCMID,HOSE,11980.0,12810.0,11150.0,12090.0,11990.0,12110.0,11990.0,12069.0,12090.0,11990.0,12110.0,11990.0,12069.0,110.0,110.0,918.2,2000000,24138000000,0,0,2000000,24138000000
10/10/24,FUEDCMID,HOSE,12070.0,12910.0,11230.0,11980.0,12150.0,12190.0,11980.0,12103.0,11980.0,12150.0,12190.0,11980.0,12103.0,-90.0,-90.0,-745.7,24700000,298949000000,0,0,24700000,298949000000
10/9/24,FUEDCMID,HOSE,12050.0,12890.0,11210.0,12070.0,12060.0,12070.0,12020.0,12049.000000000002,12070.0,12060.0,12070.0,12020.0,12049.000000000002,20.0,20.0,166.0,80500000,969932000000,0,0,80500000,969932000000
10/8/24,FUEDCMID,HOSE,11900.0,12730.0,11070.0,12050.0,11970.0,12050.0,11970.0,12008.0,12050.0,11970.0,12050.0,11970.0,12008.0,150.0,150.0,1260.5,17000000,204128000000,0,0,17000000,204128000000
10/7/24,FUEDCMID,HOSE,11920.0,12750.0,11090.0,11900.0,11940.0,11950.0,11860.0,11917.0,11900.0,11940.0,11950.0,11860.0,11917.0,-20.0,-20.0,-167.8,16400000,195443000000,0,0,16400000,195443000000
10/4/24,FUEDCMID,HOSE,12110.0,12950.0,11270.0,11920.0,12100.0,12100.0,11910.0,11963.0,11920.0,12100.0,12100.0,11910.0,11963.0,-190.0,-190.0,-1569.0,9300000,111260000000,0,0,9300000,111260000000
10/3/24,FUEDCMID,HOSE,12170.0,13020.0,11320.0,12110.0,12150.0,12220.0,12000.0,12152.000000000002,12110.0,12150.0,12220.0,12000.0,12152.000000000002,-60.0,-60.0,-493.0,44500000,540781000000,0,0,44500000,540781000000
10/2/24,FUEDCMID,HOSE,12230.0,13080.0,11380.0,12170.0,12150.0,12180.0,12070.0,12123.0,12170.0,12150.0,12180.0,12070.0,12123.0,-60.0,-60.0,-490.59999999999997,11800000,143056000000,0,0,11800000,143056000000
10/1/24,FUEDCMID,HOSE,12150.0,13000.0,11300.0,12230.0,12060.0,12260.0,12060.0,12190.999999999998,12230.0,12060.0,12260.0,12060.0,12190.999999999998,80.0,80.0,658.4,49100000,598599000000,0,0,49100000,598599000000
9/30/24,FUEDCMID,HOSE,12150.0,13000.0,11300.0,12150.0,12150.0,12150.0,12070.0,12142.000000000002,12150.0,12150.0,12150.0,12070.0,12142.000000000002,0.0,0.0,0.0,17600000,213694000000,0,0,17600000,213694000000
9/27/24,FUEDCMID,HOSE,12180.0,13030.0,11330.0,12150.0,12180.0,12200.0,12090.0,12130.0,12150.0,12180.0,12200.0,12090.0,12130.0,-30.0,-30.0,-246.29999999999998,28500000,345716000000,0,0,28500000,345716000000
9/26/24,FUEDCMID,HOSE,12100.0,12940.0,11260.0,12180.0,12130.0,12180.0,12100.0,12128.0,12180.0,12130.0,12180.0,12100.0,12128.0,80.0,80.0,661.2,109800000,1331596000000,0,0,109800000,1331596000000
9/25/24,FUEDCMID,HOSE,12000.0,12840.0,11160.0,12100.0,12000.0,12100.0,12000.0,12025.0,12100.0,12000.0,12100.0,12000.0,12025.0,100.0,100.0,833.3000000000001,14100000,169546000000,0,0,14100000,169546000000
9/24/24,FUEDCMID,HOSE,11890.0,12720.0,11060.0,12000.0,11830.0,12000.0,11830.0,11857.000000000002,12000.0,11830.0,12000.0,11830.0,11857.000000000002,110.0,110.0,925.1,16300000,193275000000,300000000,3552000000000,316300000,3745275000000
9/23/24,FUEDCMID,HOSE,11900.0,12730.0,11070.0,11890.0,11900.0,11900.0,11800.0,11869.000000000002,11890.0,11900.0,11900.0,11800.0,11869.000000000002,-10.0,-10.0,-84.0,20500000,243316000000,225000000,2662650000000,245500000,2905966000000
9/20/24,FUEDCMID,HOSE,11840.0,12660.0,11020.0,11900.0,11950.0,12000.0,11900.0,11939.0,11900.0,11950.0,12000.0,11900.0,11939.0,60.0,60.0,506.8,59200000,706758000000,194000000,2301810000000,253200000,3008568000000
9/19/24,FUEDCMID,HOSE,11810.0,12630.0,10990.0,11840.0,11810.0,11850.0,11790.0,11831.0,11840.0,11810.0,11850.0,11790.0,11831.0,30.0,30.0,254.0,10400000,123041000000,0,0,10400000,123041000000
9/18/24,FUEDCMID,HOSE,11800.0,12620.0,10980.0,11810.0,11790.0,11850.0,11730.0,11770.999999999998,11810.0,11790.0,11850.0,11730.0,11770.999999999998,10.0,10.0,84.7,28000000,329574000000,0,0,28000000,329574000000
9/17/24,FUEDCMID,HOSE,11700.0,12510.0,10890.0,11800.0,11510.0,11800.0,11510.0,11644.0,11800.0,11510.0,11800.0,11510.0,11644.0,100.0,100.0,854.7,35900000,418023000000,0,0,35900000,418023000000
9/16/24,FUEDCMID,HOSE,11750.0,12570.0,10930.0,11700.0,11750.0,11750.0,11600.0,11665.999999999998,11700.0,11750.0,11750.0,11600.0,11665.999999999998,-50.0,-50.0,-425.5,13700000,159817000000,0,0,13700000,159817000000
9/13/24,FUEDCMID,HOSE,11750.0,12570.0,10930.0,11750.0,11620.0,11750.0,11620.0,11669.0,11750.0,11620.0,11750.0,11620.0,11669.0,0.0,0.0,0.0,17300000,201878000000,410000000,4774860000000,427300000,4976738000000
9/12/24,FUEDCMID,HOSE,11670.0,12480.0,10860.0,11750.0,12100.0,12100.0,11700.0,11718.0,11750.0,12100.0,12100.0,11700.0,11718.0,80.0,80.0,685.5,39200000,459353000000,0,0,39200000,459353000000
9/11/24,FUEDCMID,HOSE,11750.0,12570.0,10930.0,11670.0,11610.0,11720.0,11610.0,11638.0,11670.0,11610.0,11720.0,11610.0,11638.0,-80.0,-80.0,-680.9,25000000,290939000000,0,0,25000000,290939000000
9/10/24,FUEDCMID,HOSE,11810.0,12630.0,10990.0,11750.0,11810.0,11820.0,11630.0,11700.0,11750.0,11810.0,11820.0,11630.0,11700.0,-60.0,-60.0,-508.0,42200000,493745000000,150000000,1768500000000,192200000,2262245000000
9/9/24,FUEDCMID,HOSE,11840.0,12660.0,11020.0,11810.0,11770.0,11820.0,11760.0,11773.0,11810.0,11770.0,11820.0,11760.0,11773.0,-30.0,-30.0,-253.4,12900000,151874000000,0,0,12900000,151874000000
9/6/24,FUEDCMID,HOSE,11900.0,12730.0,11070.0,11840.0,11900.0,11900.0,11800.0,11827.0,11840.0,11900.0,11900.0,11800.0,11827.0,-60.0,-60.0,-504.2,43300000,512091000000,0,0,43300000,512091000000
9/5/24,FUEDCMID,HOSE,12000.0,12840.0,11160.0,11900.0,12000.0,12000.0,11820.0,11905.0,11900.0,12000.0,12000.0,11820.0,11905.0,-100.0,-100.0,-833.3000000000001,49600000,590464000000,0,0,49600000,590464000000
9/4/24,FUEDCMID,HOSE,12170.0,13020.0,11320.0,12000.0,12170.0,12170.0,11810.0,11947.000000000002,12000.0,12170.0,12170.0,11810.0,11947.000000000002,-170.0,-170.0,-1396.9,3300000,39425000000,0,0,3300000,39425000000
8/30/24,FUEDCMID,HOSE,12140.0,12980.0,11300.0,12170.0,12150.0,12180.0,11980.0,12069.0,12170.0,12150.0,12180.0,11980.0,12069.0,30.0,30.0,247.1,2900000,34999000000,2000000000,23950000000000,2002900000,23984999000000
8/29/24,FUEDCMID,HOSE,12090.0,12930.0,11250.0,12140.0,11970.0,12140.0,11970.0,12067.0,12140.0,11970.0,12140.0,11970.0,12067.0,50.0,50.0,413.6,110400000,1332234000000,2000000000,24140000000000,2110400000,25472234000000
8/28/24,FUEDCMID,HOSE,12050.0,12890.0,11210.0,12090.0,12020.0,12090.0,11950.0,12015.999999999998,12090.0,12020.0,12090.0,11950.0,12015.999999999998,40.0,40.0,332.0,8100000,97326000000,0,0,8100000,97326000000
8/27/24,FUEDCMID,HOSE,12100.0,12940.0,11260.0,12050.0,11700.0,12120.0,11700.0,12034.0,12050.0,11700.0,12120.0,11700.0,12034.0,-50.0,-50.0,-413.2,17700000,213007000000,0,0,17700000,213007000000
8/26/24,FUEDCMID,HOSE,12100.0,12940.0,11260.0,12100.0,12220.0,12220.0,12090.0,12133.0,12100.0,12220.0,12220.0,12090.0,12133.0,0.0,0.0,0.0,9700000,117686000000,0,0,9700000,117686000000
8/23/24,FUEDCMID,HOSE,12110.0,12950.0,11270.0,12100.0,12110.0,12110.0,12030.0,12077.0,12100.0,12110.0,12110.0,12030.0,12077.0,-10.0,-10.0,-82.60000000000001,29100000,351443000000,0,0,29100000,351443000000
8/22/24,FUEDCMID,HOSE,12110.0,12950.0,11270.0,12110.0,12100.0,12140.0,12090.0,12110.999999999998,12110.0,12100.0,12140.0,12090.0,12110.999999999998,0.0,0.0,0.0,21100000,255544000000,0,0,21100000,255544000000
8/21/24,FUEDCMID,HOSE,12000.0,12840.0,11160.0,12110.0,11980.0,12110.0,11980.0,12062.999999999998,12110.0,11980.0,12110.0,11980.0,12062.999999999998,110.0,110.0,916.6999999999999,13600000,164057000000,0,0,13600000,164057000000
8/20/24,FUEDCMID,HOSE,11910.0,12740.0,11080.0,12000.0,11960.0,12000.0,11910.0,11966.0,12000.0,11960.0,12000.0,11910.0,11966.0,90.0,90.0,755.7,52600000,629435000000,0,0,52600000,629435000000
8/19/24,FUEDCMID,HOSE,11700.0,12510.0,10890.0,11910.0,11740.0,11930.0,11740.0,11835.0,11910.0,11740.0,11930.0,11740.0,11835.0,210.0,210.0,1794.8999999999999,14700000,173972000000,0,0,14700000,173972000000
8/16/24,FUEDCMID,HOSE,11310.0,12100.0,10520.0,11700.0,11420.0,11720.0,11420.0,11572.32704,11700.0,11420.0,11720.0,11420.0,11572.32704,390.0,390.0,3448.3,15900000,184000000000,0,0,15900000,184000000000
8/15/24,FUEDCMID,HOSE,11450.0,12250.0,10650.0,11310.0,11320.0,11410.0,11310.0,11354.000000000002,11310.0,11320.0,11410.0,11310.0,11354.000000000002,-140.0,-140.0,-1222.6999999999998,25000000,283857000000,0,0,25000000,283857000000
8/14/24,FUEDCMID,HOSE,11490.0,12290.0,10690.0,11450.0,11490.0,11510.0,11390.0,11457.0,11450.0,11490.0,11510.0,11390.0,11457.0,-40.0,-40.0,-348.1,16300000,186752000000,0,0,16300000,186752000000
8/13/24,FUEDCMID,HOSE,11490.0,12290.0,10690.0,11490.0,11540.0,11540.0,11430.0,11476.0,11490.0,11540.0,11540.0,11430.0,11476.0,0.0,0.0,0.0,17700000,203124000000,0,0,17700000,203124000000
8/12/24,FUEDCMID,HOSE,11380.0,12170.0,10590.0,11490.0,11320.0,11490.0,11320.0,11345.0,11490.0,11320.0,11490.0,11320.0,11345.0,110.0,110.0,966.6,30600000,347144000000,0,0,30600000,347144000000
8/9/24,FUEDCMID,HOSE,11230.0,12010.0,10450.0,11380.0,11320.0,11390.0,11280.0,11374.0,11380.0,11320.0,11390.0,11280.0,11374.0,150.0,150.0,1335.7,7900000,89858000000,0,0,7900000,89858000000
8/8/24,FUEDCMID,HOSE,11310.0,12100.0,10520.0,11230.0,11260.0,11260.0,11170.0,11206.0,11230.0,11260.0,11260.0,11170.0,11206.0,-80.0,-80.0,-707.3000000000001,13300000,149037000000,0,0,13300000,149037000000
8/7/24,FUEDCMID,HOSE,11310.0,12100.0,10520.0,11310.0,11340.0,11340.0,11150.0,11192.0,11310.0,11340.0,11340.0,11150.0,11192.0,0.0,0.0,0.0,22000000,246219000000,0,0,22000000,246219000000
8/6/24,FUEDCMID,HOSE,11440.0,12240.0,10640.0,11310.0,11430.0,11440.0,10920.0,11037.0,11310.0,11430.0,11440.0,10920.0,11037.0,-130.0,-130.0,-1136.4,159300000,1758162000000,0,0,159300000,1758162000000
8/5/24,FUEDCMID,HOSE,11880.0,12710.0,11050.0,11440.0,11870.0,11870.0,11050.0,11158.0,11440.0,11870.0,11870.0,11050.0,11158.0,-440.0,-440.0,-3703.7,149900000,1672505000000,0,0,149900000,1672505000000
8/2/24,FUEDCMID,HOSE,11500.0,12300.0,10700.0,11880.0,11220.0,11880.0,11160.0,11272.0,11880.0,11220.0,11880.0,11160.0,11272.0,380.0,380.0,3304.3,47900000,539910000000,0,0,47900000,539910000000
8/1/24,FUEDCMID,HOSE,11880.0,12710.0,11050.0,11500.0,11800.0,11800.0,11380.0,11535.0,11500.0,11800.0,11800.0,11380.0,11535.0,-380.0,-380.0,-3198.7000000000003,56600000,652886000000,0,0,56600000,652886000000
7/31/24,FUEDCMID,HOSE,11860.0,12690.0,11030.0,11880.0,11890.0,11900.0,11710.0,11769.0,11880.0,11890.0,11900.0,11710.0,11769.0,20.0,20.0,168.6,26200000,308347000000,0,0,26200000,308347000000
7/30/24,FUEDCMID,HOSE,11800.0,12620.0,10980.0,11860.0,11840.0,11860.0,11750.0,11796.0,11860.0,11840.0,11860.0,11750.0,11796.0,60.0,60.0,508.49999999999994,16600000,195812000000,0,0,16600000,195812000000
7/29/24,FUEDCMID,HOSE,11790.0,12610.0,10970.0,11800.0,11800.0,11910.0,11800.0,11856.0,11800.0,11800.0,11910.0,11800.0,11856.0,10.0,10.0,84.8,9700000,115000000000,0,0,9700000,115000000000
7/26/24,FUEDCMID,HOSE,11760.0,12580.0,10940.0,11790.0,11790.0,11800.0,11710.0,11786.0,11790.0,11790.0,11800.0,11710.0,11786.0,30.0,30.0,255.1,15100000,177973000000,0,0,15100000,177973000000
7/25/24,FUEDCMID,HOSE,11790.0,12610.0,10970.0,11760.0,11740.0,11760.0,11640.0,11707.0,11760.0,11740.0,11760.0,11640.0,11707.0,-30.0,-30.0,-254.5,12400000,145162000000,170000000,1987640000000,182400000,2132802000000
7/24/24,FUEDCMID,HOSE,11900.0,12730.0,11070.0,11790.0,11710.0,11810.0,11550.0,11687.000000000002,11790.0,11710.0,11810.0,11550.0,11687.000000000002,-110.0,-110.0,-924.4,212500000,2483398000000,170000000,1984070000000,382500000,4467468000000
